BASI DI DATI 1;3;1;S;06/06/2024;F2;02/07/2024;F2
LOGICA E ALGEBRA;2;1;S;06/06/2024;F3;08/07/2024;F3
ANALISI MATEMATICA 1;1;1;S;07/06/2024;F3;05/07/2024;F3
FONDAMENTI DI ELABORAZIONE NUMERICA DEI SEGNALI;3;1;N;07/06/2024;F2;02/07/2024;F3
ARCHITETTURA DEI CALCOLATORI E SISTEMI OPERATIVI;2;1;S;08/06/2024;F1;11/07/2024;F1
FONDAMENTI DI COMUNICAZIONI E INTERNET;1;2;S;10/06/2024;F1;09/07/2024;F1
OTTICA E IMMAGINI;3;2;N;10/06/2024;F2;04/07/2024;F1
INGEGNERIA DEL SOFTWARE;3;1;S;11/06/2024;F1;05/07/2024;F1
MISURE;2;1;N;12/06/2024;F2;02/07/2024;F1
PROBLEMI INVERSI APPLICATI AL TELERILEVAMENTO;3;2;N;12/06/2024;F3;12/07/2024;F2
SISTEMI DI COMUNICAZIONE;3;1;N;12/06/2024;F1;15/07/2024;F3
CHIMICA GENERALE;2;1;N;13/06/2024;F2;06/07/2024;F1
DISPOSITIVI PER LA TRASMISSIONE DELL'INFORMAZIONE;3;2;N;13/06/2024;F3;03/07/2024;F1
FONDAMENTI DI INFORMATICA;1;1;S;13/06/2024;F1;15/07/2024;F1
FISICA TECNICA;3;2;N;14/06/2024;F2;26/07/2024;F3
FONDAMENTI DI HUMAN-COMPUTER INTERACTION;3;1;N;14/06/2024;F1;12/07/2024;F1
PROBABILITA' E STATISTICA PER L'INFORMATICA;2;2;N;14/06/2024;F3;19/07/2024;F3
INFORMAZIONE E STIMA (PER INGEGNERIA INFORMATICA);2;2;N;15/06/2024;F1;04/07/2024;F2
BIOINFORMATICS ALGORITHMS;3;2;N;17/06/2024;F2;10/07/2024;F1
FISICA;1;2;S;17/06/2024;F1;22/07/2024;F1
FONDAMENTI DI ELETTRONICA;3;1;S;18/06/2024;F1;09/07/2024;F2
MECCANICA (PER ING. INFORMATICA);3;2;N;18/06/2024;F2;08/07/2024;F2
ANALISI MATEMATICA 2;2;1;S;19/06/2024;F3;23/07/2024;F3
AUTOMAZIONE INDUSTRIALE;3;2;N;19/06/2024;F2;09/07/2024;F3
TECNOLOGIE INFORMATICHE PER IL WEB;3;2;N;19/06/2024;F1;23/07/2024;F1
ALGORITMI E PRINCIPI DELL'INFORMATICA;2;2;S;20/06/2024;F1;13/07/2024;F1
ELETTROTECNICA;1;2;S;21/06/2024;F1;17/07/2024;F1
SISTEMI INFORMATIVI (PER IL SETTORE DELL'INFORMAZIONE);3;1;S;21/06/2024;F3;24/07/2024;F2
ELETTROMAGNETISMO E CAMPI;2;1;N;22/06/2024;F1;15/07/2024;F2
FONDAMENTI DI AUTOMATICA;2;2;S;24/06/2024;F2;26/07/2024;F1
GEOMETRIA E ALGEBRA LINEARE;1;1;S;24/06/2024;F3;12/07/2024;F3
SOFTWARE DEFINED NETWORKING;3;2;N;24/06/2024;F1;11/07/2024;F3
INTRODUZIONE ALLE TECNOLOGIE DI INTERCONNESSIONE;3;2;N;25/06/2024;F1;22/07/2024;F3
FISICA TECNICA;2;1;N;26/06/2024;F1;24/07/2024;F3
RETI LOGICHE;3;1;S;26/06/2024;F2;17/07/2024;F2
SEGNALI PER LE COMUNICAZIONI;2;2;N;27/06/2024;F1;22/07/2024;F2
SICUREZZA DELLE RETI;3;2;N;27/06/2024;F2;25/07/2024;F2
ONDE ELETTROMAGNETICHE E MEZZI TRASMISSIVI;2;1;N;27/06/2024;F3;25/07/2024;F3
ECONOMIA E ORGANIZZAZIONE AZIENDALE;3;2;S;28/06/2024;F2;19/07/2024;F1
